feature,importance,abs_importance
urgent,0.4038745857750981,0.4038745857750981
urgency_word_count,0.4011519608679072,0.4011519608679072
verification,-0.3359660090747772,0.3359660090747772
data,-0.3209909777567539,0.3209909777567539
confirmation,-0.31360705160568725,0.31360705160568725
if,-0.30879658101818347,0.30879658101818347
data verification,-0.30011590919252723,0.30011590919252723
email,-0.2966816734069271,0.2966816734069271
if you,-0.2880990662704878,0.2880990662704878
now,-0.28788661861803255,0.28788661861803255
this email,-0.2816844219371714,0.2816844219371714
know,-0.27874055164328804,0.27874055164328804
find,-0.2737793561872219,0.2737793561872219
let,-0.2719104069118267,0.2719104069118267
please let,-0.2681727500512286,0.2681727500512286
me,-0.261709331747695,0.261709331747695
char:now ,-0.2606259239564467,0.2606259239564467
you have,-0.2585071855796623,0.2585071855796623
any,-0.2567764751254399,0.2567764751254399
char:rge,0.2542831065728291,0.2542831065728291
communications,-0.2536436374496127,0.2536436374496127
know if,-0.2525070951973392,0.2525070951973392
char:urg,0.25105261250903765,0.25105261250903765
char:urge,0.2508229173166689,0.2508229173166689
char:rgen,0.25060500558965676,0.25060500558965676
char:urgen,0.2500860805976204,0.2500860805976204
let me,-0.24973282968128452,0.24973282968128452
char:now,-0.24971645073752927,0.24971645073752927
me know,-0.2496150026593842,0.2496150026593842
char: urg,0.24784258788817565,0.24784258788817565
char: urge,0.24784258788817565,0.24784258788817565
char: ur,0.24728618996971033,0.24728618996971033
char:rgent,0.24636642061899136,0.24636642061899136
char:gent,0.2461818447817797,0.2461818447817797
char:rifi,-0.24581783862910803,0.24581783862910803
have,-0.24573444019076418,0.24573444019076418
record,-0.24526213666884006,0.24526213666884006
char:erifi,-0.2446071573968481,0.2446071573968481
have any,-0.24321752633259622,0.24321752633259622
verified,-0.24042908087768486,0.24042908087768486
please find,-0.23632285099190883,0.23632285099190883
communications specialist,-0.23347710190538581,0.23347710190538581
further,-0.2302386934653762,0.2302386934653762
kind,-0.22971119671756643,0.22971119671756643
kind regards,-0.2286279584195081,0.2286279584195081
that,-0.22527246586823085,0.22527246586823085
senior communications,-0.22509673364904637,0.22509673364904637
data record,-0.22443457565419,0.22443457565419
generation,-0.22437255348952398,0.22437255348952398
email_address,-0.22086246303912052,0.22086246303912052
reference,-0.2195702756400511,0.2195702756400511
any questions,-0.21643396834571563,0.21643396834571563
specialist,-0.2146094239984329,0.2146094239984329
char:gen,0.21434679828982608,0.21434679828982608
char:mail,-0.21370717248640977,0.21370717248640977
char:email,-0.21370717248640977,0.21370717248640977
char:icati,-0.2127120694335627,0.2127120694335627
been,-0.21209730186912365,0.21209730186912365
or,-0.2091867612343855,0.2091867612343855
contact,-0.2077560756435501,0.2077560756435501
char:icat,-0.20709732312998744,0.20709732312998744
char:ow ,-0.2062564871050298,0.2062564871050298
reference data,-0.20570042123660345,0.20570042123660345
questions,-0.20557230959704656,0.20557230959704656
char:emai,-0.2028443804779819,0.2028443804779819
char:rif,-0.20073710675324508,0.20073710675324508
verification confirmation,-0.19979650122813675,0.19979650122813675
char: ve,-0.19892533646056668,0.19892533646056668
char:ema,-0.1989087390001244,0.1989087390001244
char:verif,-0.19847835016138912,0.19847835016138912
char:erif,-0.19847835016138912,0.19847835016138912
char: veri,-0.19798880525002704,0.19798880525002704
char:veri,-0.1976685565177735,0.1976685565177735
that the,-0.1975680647264968,0.1975680647264968
char:nfirm,-0.19751735537991005,0.19751735537991005
